RowID,OrderID,OrderDate,CustomerID,ProductID,ProductName,Sales,Quantity
1,CA-2016-152156,8/11/16,CG-12520,FUR-BO-10001798,Bush Somerset Collection Bookcase,261.96,2
2,CA-2016-152156,8/11/16,CG-12520,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3
3,CA-2016-138688,12/6/16,DV-13045,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2
4,US-2015-108966,11/10/15,SO-20335,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,957.5775,5
5,US-2015-108966,11/10/15,SO-20335,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,22.368,2
6,CA-2014-115812,9/6/14,BH-11710,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7
7,CA-2014-115812,9/6/14,BH-11710,OFF-AR-10002833,Newell 322,7.28,4
8,CA-2014-115812,9/6/14,BH-11710,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,907.152,6
9,CA-2014-115812,9/6/14,BH-11710,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3
10,CA-2014-115812,9/6/14,BH-11710,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,114.9,5
11,CA-2014-115812,9/6/14,BH-11710,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,1706.184,9
12,CA-2014-115812,9/6/14,BH-11710,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,911.424,4
13,CA-2017-114412,15/4/17,AA-10480,OFF-PA-10002365,Xerox 1967,15.552,3
14,CA-2016-161389,5/12/16,IM-15070,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,407.976,3
15,US-2015-118983,22/11/15,HP-14815,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5
16,US-2015-118983,22/11/15,HP-14815,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3
17,CA-2014-105893,11/11/14,PK-19075,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6
18,CA-2014-167164,13/5/14,AG-10270,OFF-ST-10000107,Fellowes Super Stor/Drawer,55.5,2
19,CA-2014-143336,27/8/14,ZD-21925,OFF-AR-10003056,Newell 341,8.56,2
20,CA-2014-143336,27/8/14,ZD-21925,TEC-PH-10001949,Cisco SPA 501G IP Phone,213.48,3
21,CA-2014-143336,27/8/14,ZD-21925,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",22.72,4
22,CA-2016-137330,9/12/16,KB-16585,OFF-AR-10000246,Newell 318,19.46,7
23,CA-2016-137330,9/12/16,KB-16585,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7
24,US-2017-156909,16/7/17,SF-20065,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",71.372,2
25,CA-2015-106320,25/9/15,EB-13870,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,1044.63,3
26,CA-2016-121755,16/1/16,EH-13945,OFF-BI-10001634,Wilson Jones Active Use Binders,11.648,2
27,CA-2016-121755,16/1/16,EH-13945,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3
28,US-2015-150630,17/9/15,TB-21520,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7
29,US-2015-150630,17/9/15,TB-21520,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2
30,US-2015-150630,17/9/15,TB-21520,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3
31,US-2015-150630,17/9/15,TB-21520,OFF-EN-10001509,Poly String Tie Envelopes,3.264,2
32,US-2015-150630,17/9/15,TB-21520,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6
33,US-2015-150630,17/9/15,TB-21520,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6
34,US-2015-150630,17/9/15,TB-21520,OFF-AR-10001683,Lumber Crayons,15.76,2
35,CA-2017-107727,19/10/17,MA-17560,OFF-PA-10000249,Easy-staple paper,29.472,3
36,CA-2016-117590,8/12/16,GH-14485,TEC-PH-10004977,GE 30524EE4,1097.544,7
37,CA-2016-117590,8/12/16,GH-14485,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5
38,CA-2015-117415,27/12/15,SN-20710,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9
39,CA-2015-117415,27/12/15,SN-20710,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3
40,CA-2015-117415,27/12/15,SN-20710,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",212.058,3
41,CA-2015-117415,27/12/15,SN-20710,TEC-PH-10000486,Plantronics HL10 Handset Lifter,371.168,4
42,CA-2017-120999,10/9/17,LC-16930,TEC-PH-10004093,Panasonic Kx-TS550,147.168,4
43,CA-2016-101343,17/7/16,RA-19885,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",77.88,2
44,CA-2017-139619,19/9/17,ES-14080,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2
45,CA-2016-118255,11/3/16,ON-18715,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2
46,CA-2016-118255,11/3/16,ON-18715,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2
47,CA-2014-146703,20/10/14,PO-18865,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4
48,CA-2016-169194,20/6/16,LH-16900,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3
49,CA-2016-169194,20/6/16,LH-16900,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2
50,CA-2015-115742,18/4/15,DP-13000,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6
51,CA-2015-115742,18/4/15,DP-13000,OFF-LA-10002762,Avery 485,75.18,6
52,CA-2015-115742,18/4/15,DP-13000,FUR-FU-10001706,Longer-Life Soft White Bulbs,6.16,2
53,CA-2015-115742,18/4/15,DP-13000,FUR-CH-10003061,"Global Leather Task Chair, Black",89.99,1
54,CA-2016-105816,11/12/16,JM-15265,OFF-FA-10000304,Advantus Push Pins,15.26,7
55,CA-2016-105816,11/12/16,JM-15265,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,1029.95,5
56,CA-2016-111682,17/6/16,TB-21055,OFF-ST-10000604,Home/Office Personal File Carts,208.56,6
57,CA-2016-111682,17/6/16,TB-21055,OFF-PA-10001569,Xerox 232,32.4,5
58,CA-2016-111682,17/6/16,TB-21055,FUR-CH-10003968,Novimex Turbo Task Chair,319.41,5
59,CA-2016-111682,17/6/16,TB-21055,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",14.56,2
60,CA-2016-111682,17/6/16,TB-21055,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2
61,CA-2016-111682,17/6/16,TB-21055,OFF-BI-10001460,Plastic Binding Combs,48.48,4
62,CA-2016-111682,17/6/16,TB-21055,OFF-AR-10001868,Prang Dustless Chalk Sticks,1.68,1
63,CA-2015-135545,24/11/15,KM-16720,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2
64,CA-2015-135545,24/11/15,KM-16720,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6
65,CA-2015-135545,24/11/15,KM-16720,OFF-PA-10003892,Xerox 1943,146.73,3
66,CA-2015-135545,24/11/15,KM-16720,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,79.76,4
67,US-2015-164175,30/4/15,PS-18970,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",213.115,5
68,CA-2014-106376,5/12/14,BS-11590,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8
69,CA-2014-106376,5/12/14,BS-11590,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,167.968,4
70,CA-2016-119823,4/6/16,KD-16270,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2
71,CA-2016-106075,18/9/16,HM-14980,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1
72,CA-2017-114440,14/9/17,TB-21520,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3
73,US-2015-134026,26/4/15,JE-15745,FUR-CH-10000513,High-Back Leather Manager's Chair,831.936,8
74,US-2015-134026,26/4/15,JE-15745,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2
75,US-2015-134026,26/4/15,JE-15745,OFF-ST-10004123,Safco Industrial Wire Shelving System,72.784,1
76,US-2017-118038,9/12/17,KB-16600,OFF-BI-10004182,Economy Binders,1.248,3
77,US-2017-118038,9/12/17,KB-16600,FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",9.708,3
78,US-2017-118038,9/12/17,KB-16600,OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3
79,US-2014-147606,26/11/14,JE-15745,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5
80,CA-2016-127208,12/6/16,SC-20770,OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1
81,CA-2016-127208,12/6/16,SC-20770,OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3
82,CA-2014-139451,12/10/14,DN-13690,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5
83,CA-2014-139451,12/10/14,DN-13690,OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1
84,CA-2015-149734,3/9/15,JC-16105,OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7
85,US-2017-119662,13/11/17,CS-12400,OFF-ST-10003656,Safco Industrial Wire Shelving,230.376,3
86,CA-2017-140088,28/5/17,PO-18865,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,301.96,2
87,CA-2017-155558,26/10/17,PG-18895,TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1
88,CA-2017-155558,26/10/17,PG-18895,OFF-LA-10000134,Avery 511,6.16,2
89,CA-2016-159695,5/4/16,GM-14455,OFF-ST-10003442,Eldon Portable Mobile Manager,158.368,7
90,CA-2016-109806,17/9/16,JS-15685,OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,20.1,3
91,CA-2016-109806,17/9/16,JS-15685,TEC-PH-10004093,Panasonic Kx-TS550,73.584,2
92,CA-2016-109806,17/9/16,JS-15685,OFF-PA-10000304,Xerox 1995,6.48,1
93,CA-2015-149587,31/1/15,KB-16315,OFF-PA-10003177,Xerox 1999,12.96,2
94,CA-2015-149587,31/1/15,KB-16315,FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",53.34,3
95,CA-2015-149587,31/1/15,KB-16315,OFF-BI-10002852,Ibico Standard Transparent Covers,32.96,2
96,US-2017-109484,6/11/17,RB-19705,OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,5.682,1
